meanfreq,sd,median,Q25,Q75,IQR,kurt,sp.ent,sfm,centroid,meanfun,minfun,maxfun,meandom,mindom,maxdom,dfrange,modindx,label
[2792.94141872],0.121355675,0.32427645,0.10917269811034203,0.6344257891178131,0.5252530910074711,-0.88102835,0.00067672995,0.00067672995,2758.807599568501,-9.321637,-405.46286,226.30412,-9.321637,-405.46286,226.30412,631.76697,-9.321637,female
[2914.19927475],0.109098695,0.3201804,0.126521997153759,0.6217870265245438,0.49526502937078476,-0.81478435,0.0010026057,0.0010026057,2886.5659898766176,-10.68046,-404.28476,219.19678,-10.68046,-404.28476,219.19678,623.48157,-10.68046,female
[2982.47463506],0.1124309,0.33216602,0.11757980287075043,0.6384680867195129,0.5208882838487625,-0.89084536,0.0008959164,0.0008959164,2854.10384247467,-9.488185,-448.82074,219.47882,-9.488185,-448.82074,219.47882,668.29956,-9.488185,female
[3382.30667488],0.09352944,0.45612282,0.21593722328543663,0.706078052520752,0.4901408292353153,-1.0048386,0.0042459844,0.0042459844,3385.91608631284,-9.706853,-456.46777,228.64731,-9.706853,-456.46777,228.64731,685.1151,-9.706853,female
[3136.27411821],0.10585769,0.39733204,0.15900887921452522,0.6728715747594833,0.5138626955449581,-1.0219432,0.0012927888,0.0012927888,3257.428683450249,-8.439604,-380.32965,233.69627,-8.439604,-380.32965,233.69627,614.02594,-8.439604,female
[3075.32761286],0.103115,0.35153574,0.12980100512504578,0.6430513560771942,0.5132503509521484,-0.78181314,0.0011430252,0.0011430252,3216.4337793144105,-10.323916,-417.819,243.32773,-10.323916,-417.819,243.32773,661.1467,-10.323916,female
[3059.64266293],0.09340333,0.34310818,0.1634199507534504,0.6224775612354279,0.45905761048197746,-0.7266102,0.00085633516,0.00085633516,2977.5709674163622,-10.066285,-370.09305,238.05353,-10.066285,-370.09305,238.05353,608.1466,-10.066285,female
[3118.65199594],0.0985268,0.40546733,0.15229395776987076,0.704975426197052,0.5526814684271812,-1.1268252,0.00096645736,0.00096645736,2812.163570655005,-10.481546,-447.15414,231.10382,-10.481546,-447.15414,231.10382,678.25793,-10.481546,female
[2796.80872097],0.13187885,0.30861163,0.11194719560444355,0.5977387875318527,0.48579159192740917,-0.7111952,0.0010923437,0.0010923437,2765.6518688011424,-10.024028,-379.02933,238.59018,-10.024028,-379.02933,238.59018,617.6195,-10.024028,female
[3036.05813075],0.093020275,0.37604666,0.15103603526949883,0.6735602766275406,0.5225242413580418,-1.0287176,0.00081755436,0.00081755436,2823.607132755395,-9.266166,-445.14996,241.44592,-9.266166,-445.14996,241.44592,686.5959,-9.266166,female
